asin,availability,brand,category,created_on,description,description_de,detail_page_url,detail_page_url_de,featured,large_image,large_image_alt,large_image_alt_de,manufacturer,medium_image,medium_image_alt,medium_image_alt_de,meta_description,meta_description_de,popularity,price,publisher,slug,slug_de,title,title_de,updated_on,uuid
B00388B500,, Intex ,1,2021-06-22 08:40:56,About this item         Rectangular Frame Pool     Robust and strong film; high stability.     Quick and easy to assemble.     Galvanised and powder-coated pool construction; highly tear-resistant PVC fabric     Contents: Intex Frame Pool Family without Filter Pump,,https://www.amazon.de/gp/product/B00388B500?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=3fff490b3f4fc4a62945c7173070c5bc&language=en_GB&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/51Wo9SDLEZL.__AC_SX300_SY300_QL70_ML2_.jpg,"Intex Rectangular Frame Pool, 260 x 160 x 65 cm, blue",, Intex ,https://images-eu.ssl-images-amazon.com/images/I/51Wo9SDLEZL.__AC_SX300_SY300_QL70_ML2_.jpg,"Intex Rectangular Frame Pool, 260 x 160 x 65 cm, blue",,"Intex Rectangular Frame Pool, 260 x 160 x 65 cm, blue: Meisteraffiliateshop Garten",,22248 ,169.70, Intex ,intex-rectangular-frame-pool-260-x-160-x-65-cm-blue,,"Intex Rectangular Frame Pool, 260 x 160 x 65 cm, blue",,2021-06-22 08:40:56,1d79bbd2-af9e-4923-b89c-1cff82001a41
B08HHSW8LT,, Samsung ,1,2021-06-22 08:40:57,About this item                           Hygienic steam program: hygienically clean and bacteria-free – perfect for allergy sufferers.     Digital inverter motor.     Drum cleaning - hygienically pure drum without chemicals.     Diamond care drum – especially gentle and gentle     Device dimensions (W x H x D): 600 x 850 x 550 mm.                See more product details,,https://www.amazon.de/dp/B08HHSW8LT?psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFQUzg3NjhRTERGRjQmZW5jcnlwdGVkSWQ9QTEwMDgyNTUxQ0oyVk1WUkdMM0xKJmVuY3J5cHRlZEFkSWQ9QTAxNzgwNjcxNFhKUVFCM1laTjhTJndpZGdldE5hbWU9c3BfaHFwX3NoYXJlZCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU%3D&linkCode=sl1&tag=meister002-21&linkId=af019b522a7e0e04412c331f18169955&language=en_GB&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/71b44H4sgLL.__AC_SX342_SY445_QL70_ML2_.jpg,Samsung washing machine,, Samsung ,https://images-eu.ssl-images-amazon.com/images/I/71b44H4sgLL.__AC_SX342_SY445_QL70_ML2_.jpg,Samsung washing machine,,Samsung washing machine: Meisteraffiliateshop Large Appliances,,1431 ,389.00, Samsung ,samsung-washing-machine,,Samsung washing machine,,2021-06-22 08:40:57,ce3adfc9-fb8c-4bcc-8dc7-274c5587fdbf
B072VBF6M4,, Oral-B ,1,2021-06-22 08:40:57,About this item         PROTECTS YOUR Gums: The visual pressure control lights up and reduces speed when you exert too much pressure.     The unique round brush head removes up to 100% more plaque than a standard manual toothbrush     2 cleaning modes: daily cleaning and sensitive.     More than 2 weeks of battery life on a single full charge     Always maintain the right cleaning time of 2 minutes with the professional timer.,,https://www.amazon.de/gp/product/B072VBF6M4?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=67b8ae344d0eaca43ec29709b1d63ef9&language=en_GB&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/415BvEkRqxL.__AC_SX300_SY300_QL70_ML2_.jpg,"Oral-B PRO 2 2900 Electric toothbrush for extra gum protection thanks to visual pressure control, with 2nd handpiece, black",, Oral-B ,https://images-eu.ssl-images-amazon.com/images/I/415BvEkRqxL.__AC_SX300_SY300_QL70_ML2_.jpg,"Oral-B PRO 2 2900 Electric toothbrush for extra gum protection thanks to visual pressure control, with 2nd handpiece, black",,"Oral-B PRO 2 2900 Electric toothbrush for extra gum protection thanks to visual pressure control, with 2nd handpiece, black: Meisteraffiliateshop Drogerie & Körperpflege",,22227 ,57.14, Oral-B ,oral-b-pro-2-2900-electric-toothbrush-for-extra-gum-protection-thanks-to-visual-pressure-control-with-2nd-handpiece-black,,Oral-B PRO 2 2900 Electric toothbrush for extra gum protection thanks,,2021-06-22 08:40:57,caec79fd-6a8c-4ddc-a7ae-2f1f603e4bb2
B08J6HN3CH,, Apple ,1,2021-06-22 08:40:57,"About this item         With the GPS model, you can answer calls and answer text messages from your wrist.     Measure the oxygen content in your blood with a new sensor and an app.     Check your heart rhythm with the ECG app.     The Always-On Retina display is 2.5 times brighter outdoors when your wrist is below.     The S6 SiP is up to 20% faster than the Series 5     5GHz Wi-Fi and U1 Ultra Broadband Chip     Track your daily activity on the Apple Watch and see your trends in the fitness app on the iPhone.                   Record workouts such as running, walking, cycling, yoga, swimming and dancing.  Floating design  Sync your music, podcasts and audiobooks    Show More",,https://www.amazon.de/gp/product/B08J6HN3CH?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=b680390867f9de23ef1d87cce5c6abc9&language=en_GB&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/7124297vM4L.__AC_SY445_SX342_QL70_ML2_.jpg,Apple Watch Series 6 GPS,, Apple ,https://images-eu.ssl-images-amazon.com/images/I/7124297vM4L.__AC_SY445_SX342_QL70_ML2_.jpg,Apple Watch Series 6 GPS,,Apple Watch Series 6 GPS: Meisteraffiliateshop Alle Produkte,,8450 ,, Apple ,apple-watch-series-6-gps,,Apple Watch Series 6 GPS,,2021-06-22 08:40:57,f9bc5c61-c466-4af4-8603-3549d61e7e3e
B07TPRCS4G,, Bestway,1,2021-06-22 08:40:57,"Info zu diesem Artikel         Größe aufgeblasen: 153 x 74 x 28 cm - Maximale Belastbarkeit: 90 kg - Maximale Personenanzahl: ein Erwachsener     Mesh-Liegefläche mit Hängematteneffekt - Aufblasbare Kopfstütze     Ideal für Strand, See oder Pool - Meer erleben mit Bestway - Ob Urlaub im Süden, an Nord- oder Ostsee - Ideal auf Reisen - Leicht verstaubar     Großartig für Erwachsene und Kinder. Spaß pur - ob Strand- oder Poolparty     Lieferumfang – eine Hängematratze / zwei-fach sortiert - eine Auswahl ist leider nicht möglich                Weitere Produktdetails",,https://www.amazon.de/gp/product/B07TPRCS4G?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=61cb6048c7334e5a5b9efeb8b5df014d&language=de_DE&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/81FzhydrJYL.__AC_SX300_SY300_QL70_ML2_.jpg,"Bestway 43103 Luftmatratze H&auml;ngematte, 160 x 84 cm, Sortiert",, Bestway,https://images-eu.ssl-images-amazon.com/images/I/81FzhydrJYL.__AC_SX300_SY300_QL70_ML2_.jpg,"Bestway 43103 Luftmatratze H&auml;ngematte, 160 x 84 cm, Sortiert",,"Bestway 43103 Luftmatratze Hängematte, 160 x 84 cm, Sortiert bei Meisteraffiliateshop.com| Günstiger Preis | Kostenloser Versand ab 29€ für ausgewählte Artikel",,2305 ,11.16 , Bestway,bestway-43103-luftmatratze-haengematte-160-x-84-cm-sortiert,,"Bestway 43103 Luftmatratze Hängematte, 160 x 84 cm, Sortiert",,2021-06-22 08:40:57,1b337c38-2b2b-40f7-abff-55e2265121e1
B08L5QZ696,, Apple ,1,2021-06-22 08:40:57,"About this item         6.1 inch Super Retina XDR display (15.5 cm diagonal).     Ceramic shield that can withstand more than any smartphone glass.     5G for super-fast downloads and streaming of the highest quality.     A14 Bionic, the fastest chip in a smartphone     Advanced Dual Camera System with 12MP Ultra Wide Angle and Wide Angle Lens, Night Mode, Deep Fusion, Smart HDR 3, 4K Dolby Vision HDR Recording     12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording     Industry-leading IP68 water protection                   Supports MagSafe accessories for easy docking and faster wireless charging.  iOS with new widgets on the home screen, the new app media library, app clips and more.    Show More",,https://www.amazon.de/gp/product/B08L5QZ696?ie=UTF8&th=1&linkCode=sl1&tag=meister002-21&linkId=0b7dac6f36858c64c398ebed0240d97c&language=en_GB&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/71IluxZN8pL.__AC_SY445_SX342_QL70_ML2_.jpg,Apple iPhone 12,, Apple ,https://images-eu.ssl-images-amazon.com/images/I/71IluxZN8pL.__AC_SY445_SX342_QL70_ML2_.jpg,Apple iPhone 12,,Apple iPhone 12: Meisteraffiliateshop Alle Produkte,,3555 ,, Apple ,apple-iphone-12,,Apple iPhone 12,,2021-06-22 08:40:57,12e683ee-707a-49bd-878b-d82e3ef040c4
,,,1,2021-06-22 08:40:57,,,https://www.amazon.de/gp/product/B08662DD58?ie=UTF8&th=1&linkCode=sl1&tag=meister002-21&linkId=03e5c856273dc24070091ce67c3ed26c&language=en_GB&ref_=as_li_ss_tl,,,,,,,,,,,,,,,,,,,2021-06-22 08:40:57,e7b7b11a-d058-45bf-8a9e-aadf28b22776
B074379C7Q,, Logitech,1,2021-06-22 08:40:59,"About this item                           Thanks to the XLR connector, it is perfect for connecting to mixers and USB audio interfaces     Special large diaphragm capacitor capsule with cardioid character for an extremely detailed, focused sound     Blue class A circuit based on JFET for an overtone-rich audio signal     100 Hz high-pass filter for more transparency with less impact noise and vibrations     - 20 dB pad for distortion-free streams even in intense situations",,https://www.amazon.de/Blue-Kondensatormikrofon-Professionelle-Aufnahme-Streaming-Anwendungen/dp/B074379C7Q?&linkCode=sl1&tag=meister002-21&linkId=0e42027f15c536bd3fd27034f7105d9d&language=en_GB&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/71QqbeyecEL.__AC_SX300_SY300_QL70_ML2_.jpg,Blue Microphones Spark Blackout SL XLR condenser microphone for professional recording and streaming applications,, Logitech,https://images-eu.ssl-images-amazon.com/images/I/71QqbeyecEL.__AC_SX300_SY300_QL70_ML2_.jpg,Blue Microphones Spark Blackout SL XLR condenser microphone for professional recording and streaming applications,,Blue Microphones Spark Blackout SL XLR condenser microphone for professional recording and streaming applications: Meisteraffiliateshop Musical Instruments,,5 ,199.00, Logitech,blue-microphones-spark-blackout-sl-xlr-condenser-microphone-for-professional-recording-and-streaming-applications,,Blue Microphones Spark Blackout SL XLR condenser microphone for profe,,2021-06-22 08:40:59,df98143b-9872-44cb-889d-c65ffb350332
B00B4KNZH0,, little tikes ,1,2021-06-22 08:40:59,"About this item         DIG, BUILD, &amp; POUR - This fantastic sandpit is a much-loved Little Tikes classic! It provides hours of active play and fun for children. Ages: 12 months to 6 years +     USE AS SAND PIT OR POOL - The Turtle Sandbox by Little Tikes is ideal for sunny days and is so versatile it can be used as either a sandpit or a ball pool     LARGE AREA - Your children will enjoy lots of hands-on play as they dig, build, and pour. Large area for lots of sand play. Moulded in detail on the bottom of the sandbox to encourage digging.     REMOVABLE LID - Turtle shell is a removable lid that covers sand area when not in use     TWO MOULDED SEATS - Two seats moulded into the outside of the sandbox do not take away from the sand area. It's perfect for active play and social interaction                See more product details",,https://www.amazon.de/gp/product/B00B4KNZH0?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=958a05ba5867f80e56de2ef1ff2d7eeb&language=en_GB&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/71u3Y1vOSaL.__AC_SX300_SY300_QL70_ML2_.jpg,Little Tikes Turtle Sandbox - Outdoor Playset for Toddlers - Safe &amp; Portable - Encourages Creative Play,, little tikes ,https://images-eu.ssl-images-amazon.com/images/I/71u3Y1vOSaL.__AC_SX300_SY300_QL70_ML2_.jpg,Little Tikes Turtle Sandbox - Outdoor Playset for Toddlers - Safe &amp; Portable - Encourages Creative Play,,Little Tikes Turtle Sandbox - Outdoor Playset for Toddlers - Safe & Portable - Encourages Creative Play: Meisteraffiliateshop Spielzeug,,2154 ,78.00, little tikes ,little-tikes-turtle-sandbox-outdoor-playset-for-toddlers-safe-&amp-portable-encourages-creative-play,,Little Tikes Turtle Sandbox - Outdoor Playset for Toddlers - Safe &am,,2021-06-22 08:40:59,ca14c65f-77b7-43cb-8c64-31f716ef3911
B00MMECC9E,, Ultrasport ,1,2021-06-22 08:40:59,"About this item         High-quality complete set - The Ultrasport trampoline is UV- and weather-resistant and includes a robust safety net, padded net poles, secure spring cover and an extremely durable jumping mat.     Fun and games plus training - Our garden trampoline for the whole family is perfect as a fitness, play and training device for young and old. The most effective training for your endurance.     Durable, stable and safe - Hot-dip galvanised steel frame and galvanised steel springs with secure cover are durable, tested and robust.     Dimensions and details - Tested by TÜV (German Technical Inspection Association) and certified with GS and EN71-14; patented anti-tilt, thanks to L-shaped legs; includes spring compressor.",,https://www.amazon.de/-/en/Ultrasport-trampoline-childrens-innovative-weather-resistant/dp/B00MMECC9E?pd_rd_w=V4jtT&pf_rd_p=d0ecb613-4040-45f8-b335-5cd8ff54c281&pf_rd_r=41W9P4BGTKNGAA9MVT4B&pd_rd_r=32917f94-54bf-4b3a-8ed3-48e782ac0506&pd_rd_wg=gCHaV&pd_rd_i=B00MMECC9E&psc=1&linkCode=sl1&tag=meister002-21&linkId=77f16570db364e2d19323a770af2c20b&language=en_GB&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/911Stl%2ByxxL.__AC_SX300_SY300_QL70_ML2_.jpg,"Ultrasport Gartentrampolin, Outdoor Trampolin, Kindertrampolin, &Oslash; 183-430cm, Sprungfedern oder innovatives Elastik Sprungssystem, inkl. Sicherheitsnetz, Witterungsbest&auml;ndig, Belastbar 100-150 Kg",, Ultrasport ,https://images-eu.ssl-images-amazon.com/images/I/911Stl%2ByxxL.__AC_SX300_SY300_QL70_ML2_.jpg,"Ultrasport Gartentrampolin, Outdoor Trampolin, Kindertrampolin, &Oslash; 183-430cm, Sprungfedern oder innovatives Elastik Sprungssystem, inkl. Sicherheitsnetz, Witterungsbest&auml;ndig, Belastbar 100-150 Kg",,"Ultrasport garden trampoline, outdoor trampoline, children's trampoline, diameter 183-430 cm, springs or innovative elastic jump system, incl. Safety net, weather-resistant, load capacity 100-150 kg., green, 251 cm: Meisteraffiliateshop Sport & Freizeit",,8891 ,218.99, Ultrasport ,ultrasport-gartentrampolin-outdoor-trampolin-kindertrampolin-ø-183-430cm-sprungfedern-oder-innovatives-elastik-sprungssystem-inkl-sicherheitsnetz-witterungsbestaendig-belastbar-100-150-kg,,"Ultrasport Gartentrampolin, Outdoor Trampolin, Kindertrampolin, Ø 183",,2021-06-22 08:40:59,bb7c193c-4018-4632-929b-475948c3593f
B07QSC92NG,, Focusrite ,1,2021-06-22 08:40:59,"                 Zwei der überzeugendsten Mikrofon-Vorverstärker, die die Scarlett-Reihe zu bieten hat – jetzt mit zuschaltbarer Air-Funktion, um deinen Gesangsaufnahmen einen helleren, offeneren Sound zu verpassen     Zwei Instrumenteneingänge mit jeder Menge Headroom für Gitarre oder Bass     Zwei symmetrische Line-Eingänge für den Anschluss von Synthesizern, Drumcomputern und anderen Line-Level-Quellen     Vier symmetrische Line-Ausgänge für klares Monitoring und das Senden von Audio-Signalen an Effekt-Pedale     Leistungsstarke Wandler für Aufnahmen und Mixing bei bis zu 192 kHz/24 Bit                See more product details",,https://www.amazon.de/gp/product/B07QSC92NG?ie=UTF8&th=1&linkCode=sl1&tag=meister002-21&linkId=b0d75ac4118f4125b7bca09e29fc79c0&language=en_GB&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/71TLLGJoN%2BL.__AC_SY300_SX300_QL70_ML2_.jpg,Focusrite Scarlett 3rd Gen Audio Interface,, Focusrite ,https://images-eu.ssl-images-amazon.com/images/I/71TLLGJoN%2BL.__AC_SY300_SX300_QL70_ML2_.jpg,Focusrite Scarlett 3rd Gen Audio Interface,,Focusrite Scarlett 3rd Gen Audio Interface: Meisteraffiliateshop Musical Instruments,,21045 ,209.00, Focusrite ,focusrite-scarlett-3rd-gen-audio-interface,,Focusrite Scarlett 3rd Gen Audio Interface,,2021-06-22 08:40:59,077ca35d-bd53-4de5-8b89-24c7514976e0
B07PZR3PVB,, Apple ,1,2021-06-22 08:40:59,"About this item         Automatic power on and connect.     Easy setup for all your Apple devices.     Quick access to Siri by simply saying ""Hey Siri"".     Double tap to play a track or jump to the next.     The new Apple H1 chip enables faster wireless connections to your devices.     Quick charging in the case.     Case can be charged with a Lightning connector.                   Rich, high-quality audio and voice playback.  Seamless switching between devices.  Listen and talk all day long with multiple charges from the wireless charging case.    Show More",,https://www.amazon.de/gp/product/B07PZR3PVB?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=e51d8571f1a12db0fa4eaf959d83bbb8&language=en_GB&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/71NTi82uBEL.__AC_SY445_SX342_QL70_ML2_.jpg,Apple Airpods with wired loading case,, Apple ,https://images-eu.ssl-images-amazon.com/images/I/71NTi82uBEL.__AC_SY445_SX342_QL70_ML2_.jpg,Apple Airpods with wired loading case,,Apple Airpods with wired loading case: Meisteraffiliateshop Alle Produkte,,102766 ,125.00, Apple ,apple-airpods-with-wired-loading-case,,Apple Airpods with wired loading case,,2021-06-22 08:40:59,1a55a5ee-fb82-4f4e-a842-b2923f796b58
,,,1,2021-06-22 08:40:59,,,https://www.amazon.de/gp/product/B071WPHK16?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=7b95639a04e5c807d1a48be4a8113f37&language=en_GB&ref_=as_li_ss_tl,,,,,,,,,,,,,,,,,,,2021-06-22 08:40:59,a49cf106-d5c8-4582-aeaa-6d410b7f0c09
